latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
62.2875,39.52927,302.5,0.5,0.5,2017-04-29,0054,N,nominal,1.0NRT,268.4,0.9,N
54.72408,44.9059,302.4,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,271.6,2.6,N
54.72007,44.91517,301.4,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,272.2,2.1,N
54.04438,44.16338,296.5,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,274,1.6,N
53.79456,44.63972,327.7,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,264.5,6.8,N
53.79132,44.63897,304.9,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,262.1,2.6,N
53.68126,44.66436,333.3,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,264.7,6.9,N
53.67673,44.67472,310.7,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,263,3.9,N
53.67086,44.66746,316.8,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,266.1,3.2,N
54.04966,43.68342,297.7,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,276.6,0.9,N
53.88231,43.07774,301.6,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,276.4,1.7,N
53.84922,43.11626,299.1,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,278.4,1.2,N
53.88142,43.07739,302.5,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,276.6,1.4,N
53.84855,43.1161,298.7,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,278.5,0.8,N
53.85546,43.05843,305,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,275.5,1.8,N
53.55811,43.66516,296.5,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,276.6,1.7,N
53.56063,43.66299,303.7,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,277.5,1.8,N
54.24549,38.87349,295.6,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,272.5,0.7,N
52.97938,40.65908,295.2,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,278,0.8,N
53.41554,39.22414,299,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,274.3,1.5,N
54.60112,35.41424,341.5,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,273.5,3.3,N
53.65714,38.1997,298.1,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,268,0.7,N
53.75731,37.52584,295.8,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,275.8,0.4,N
52.4792,39.89524,298.1,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,279.7,3.3,N
52.47363,39.88938,319.8,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,279.1,3.3,N
52.47071,39.89703,315.2,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,278.8,4.6,N
52.55885,39.62471,302.5,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,283.8,1.3,N
52.54463,39.64186,329.9,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.5,3,N
52.55619,39.61141,313.4,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,283.1,4.7,N
52.55329,39.61903,301.6,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.9,2.8,N
52.5391,39.63611,296.3,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,281.7,3,N
52.55648,39.57002,325.7,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,281.8,8.3,N
52.55372,39.5773,331.3,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.5,3.5,N
52.53929,39.61529,298.1,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.5,1.1,N
